Country,Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",Depth of credit information index (0=low to 8=high),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)",Export value index (2000 = 100),Export volume index (2000 = 100),"Fertility rate, total (births per woman)",Fixed broadband Internet subscribers (per 100 people),GDP growth (annual %),GDP per capita (constant 2005 US$),"GDP per capita, PPP (constant 2011 international $)",Individuals using the Internet (% of population),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Mobile cellular subscriptions (per 100 people),"Own-account workers, female (% of female employment) (modeled ILO estimate)","Own-account workers, male (% of male employment) (modeled ILO estimate)","Own-account workers, total (% of male employment) (modeled ILO estimate)",Population ages 0-14 (% of total),"Population ages 0-14, total",Population ages 15-64 (% of total),"Population ages 15-64, total",Population ages 65 and above (% of total),"Population ages 65 and above, total",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Private credit bureau coverage (% of adults),Public credit registry coverage (% of adults),Rural population,Rural population (% of total population),"Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)",Tax payments (number),Telephone lines (per 100 people),Time required to enforce a contract (days),Time required to start a business (days),Time to prepare and pay taxes (hours),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Urban population,Urban population (% of total),"Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Net trade in goods and services (BoP, current US$)"
Bosnia and Herzegovina,100.0,10.4266,43.5833619126941,8.67399978637695,1.83899998664856,4.3270001411438,6.0,3.88800001144409,4.95900011062622,4.56899976730347,19.2439994812012,18.621000289917,19.5370006561279,32.2620010375977,19.3090000152588,38.3569984436035,48.4939994812012,62.076000213623,42.1040000915527,492.7034612,318.5716098,1.36,18.8371526972125,3.14407738358227,5382.62414642085,11337.5702648861,60.26,35.2690010070801,58.8050003051758,46.7270011901855,1409620.0,79.398,74.361,96.7933210039991,12.878999710083,18.6189994812012,16.5289993286133,14.2203345298702,500103.0,69.6459524751935,2449320.0,16.1337129949363,567393.0,68.6878125,-0.542908049545518,3516816.0,10.4,37.6,1845695.0,52.482,25.4400005340576,25.4160003662109,25.4249992370605,34.0,21.1836786456841,595.0,65.0,411.0,29.5779991149902,22.2029991149902,25.0599994659424,58.0639991760254,52.2389984130859,54.310001373291,1671121.0,47.518,21.55299949646,20.4579994678498,20.8559994697571,74.5599975585938,74.5839996337891,74.5749969482422,-2810928851.09672
Mali,35.0694999694824,171.0826,101.460052835742,43.3699989318848,28.8859996795654,35.0699996948242,0.0,0.188999995589256,1.50800001621246,0.944999992847443,61.6399993896484,61.2620010375977,61.9210014343262,8.3439998626709,6.01300001144409,10.081000328064,30.0160007476807,32.7249984741211,27.9979991912842,465.7022125,167.1850469,6.057,0.119167514548756,5.79999999505212,745.870724513615,1971.08447950848,11.1121864890589,60.4309997558594,82.2949981689453,71.2060012817383,6683850.0,58.674,57.249,112.3527654071,50.7350006103516,54.6609992980957,52.9850006103516,47.8370434808606,8608198.0,49.6376321719391,8932211.0,2.52532434720025,454428.0,14.7475696407936,2.9719686325901,17994837.0,0.0,0.1,10656003.0,59.217,94.2949981689453,85.0559997558594,89.0,35.0,1.11594231167529,620.0,8.5,270.0,8.55799961090088,7.25099992752075,7.81300020217896,19.5230007171631,16.9659996032715,18.0779991149902,7338834.0,40.783,94.1049995422364,83.5469989776611,88.0550003051758,5.70499992370605,14.9440002441406,11.0,-2367638112.66079
South Asia,85.5691498225237,33.6864550901314,53.8015312842142,32.2481569805651,9.42323324816966,15.1891227210024,3.875,0.473881220096864,2.04284050255947,1.64635100016184,43.8752577461573,59.8961174205263,38.460842717203,22.8069791396771,16.6547251782317,24.8862741515565,33.3170098539935,23.4494488815494,36.6528671650403,4.711472602739726,4.711472602739726,2.45961420697189,1.58888173861239,6.83468802612113,1692.05069808759,5624.74471773812,26.4777357008626,28.6382899633635,79.5286741375509,54.6989706779783,683019429.0,70.3044680826624,67.2546042366231,83.8799490940943,47.1981476821294,61.7201750132408,58.0518613992951,29.3086307543117,517705811.0,65.1156984069694,1150199603.0,5.57567083871895,98488299.0,370.190759574874,1.27243267472549,1766393714.0,14.025,4.2125,1181309025.0,66.8768811159515,79.9209062801074,73.1860337025777,74.8873330140082,31.875,1.79893772238605,1101.65,15.8125,284.25,4.76992681084864,3.33649958304929,3.70224982188336,11.8165544752188,9.87360481716062,10.3387780358288,585084689.0,33.1231188840485,79.4463046626944,71.1434082614105,73.2409841202976,20.0790925100131,26.8139647877345,25.1126684197384,4.711472602739726
Czech Republic,100.0,10.2054,50.9527539583137,0.941999971866608,0.216999992728233,0.53600001335144,7.0,1.63399994373322,4.33900022506714,3.14800000190735,2.90100002288818,1.72000002861023,3.83100008964539,38.0709991455078,24.1450004577637,49.0299987792969,59.0270004272461,74.1340026855469,47.1389999389648,559.5528948,325.6857855,1.57,28.9321019132411,2.593326020384,21894.1126524738,31338.8752118175,76.4812013779572,52.0660018920898,68.6330032348633,60.1419982910156,5387517.0,81.2,75.6,117.661929703353,10.6789999008179,15.7150001525879,13.4969997406006,15.2213369834003,1608337.0,66.2458968082679,6999761.0,18.5327662083318,1958234.0,136.851858567543,0.192048415842684,10566332.0,79.2,6.8,2792682.0,26.43,13.253999710083,20.2719993591309,17.1809997558594,8.0,16.57335579944,611.0,9.0,234.0,4.66699981689453,3.37800002098084,3.95000004768372,11.3929996490479,9.90299987792969,10.4980001449585,7773650.0,73.57,11.6209998726845,15.9320001453161,14.032999753952,86.7460021972656,79.7279968261719,82.8190002441406,14970590108.5915
South Africa,84.2,44.424,52.4085780041956,0.737999975681305,0.312999993562698,0.497999995946884,7.0,2.65199995040894,7.76000022888184,5.53999996185303,5.58400011062622,3.89599990844727,6.88100004196167,23.3290004730225,11.9329996109009,32.0870018005371,71.0879974365234,84.1709976196289,61.0330009460449,250.445219,156.2443961,2.458,2.05437879637292,0.565362939110358,7519.50559570727,12286.6971248333,54.0,47.7869987487793,62.0359992980957,54.7039985656738,21701910.0,66.376,59.231,147.125205923013,8.97999954223633,9.21500015258789,9.11299991607666,29.1775613498792,16343949.0,65.6131047933845,36753491.0,5.20933385673633,2918033.0,46.1758591695587,1.30137401321457,56015473.0,63.7,0.0,19414403.0,34.659,12.3699998855591,17.2880001068115,15.1510000228882,7.0,8.07428690283487,600.0,45.0,203.0,28.9950008392334,24.5540008544922,26.5499992370605,59.3330001831055,48.6119995117188,53.3600006103516,36601070.0,65.341,9.71799951791763,9.52800014615059,9.61099991202354,87.629997253418,82.7119979858398,84.8489990234375,1533892059.15329
Trinidad and Tobago,100.0,31.033,43.7713161392798,0.477999985218048,0.122000001370907,0.268999993801117,6.0,3.2409999370575,7.84899997711182,5.94500017166138,3.81800007820129,1.84399998188019,5.20800018310547,27.0240001678467,13.5729999542236,36.4939994812012,69.1579971313477,84.5830001831055,58.2980003356934,183.5502296,92.30940837,1.752,18.7242575251179,-5.95706134719481,15765.9643231891,29540.8742983584,73.296941218486,51.0229988098145,74.0930023193359,62.3120002746582,674156.0,74.319,67.264,158.674527202955,10.9860000610352,19.8850002288818,16.2080001831055,20.7374271225133,283058.0,69.554903359947,949398.0,9.70766951753968,132506.0,266.074463937622,0.357424490275184,1364962.0,72.3,0.0,638120.0,46.75,14.706000328064,27.8549995422363,22.4220008850098,39.0,19.9409946943578,1340.0,10.5,210.0,5.51700019836426,3.55100011825562,4.3730001449585,12.6929998397827,8.65299987792969,10.2390003204346,726842.0,53.25,11.4640000462532,20.0070002302527,16.4770001769066,85.2939987182617,72.1449966430664,77.5780029296875,-361238438.597955
Bahrain,100.0,13.493,29.2565420904034,0.486000001430511,0.307000011205673,0.344999998807907,8.0,0.513000011444092,1.69400000572205,1.44799995422363,0.97299998998642,0.0450000017881393,1.21700000762939,35.7299995422363,9.39299964904785,42.6510009765625,63.2960014343262,90.5630035400391,56.1319999694824,194.8531014,118.0923853,2.033,16.2934833784858,3.21593363864166,22291.4042492524,43642.9725745003,97.9999807024146,43.9010009765625,86.9580001831055,71.8649978637695,816373.0,77.995,76.061,210.140748022518,0.435999989509583,1.74800002574921,1.47500002384186,20.2915299286893,289189.0,77.3655231547653,1102591.0,2.34294691654545,33391.0,1848.47081712062,3.81279679337586,1425171.0,25.7,0.0,155486.0,10.91,1.43499994277954,3.75,3.26799988746643,13.0,19.6372224806707,635.0,9.3,27.0,3.96700000762939,0.465000003576279,1.2150000333786,13.2419996261597,2.6489999294281,5.52099990844727,1269685.0,89.09,0.921999990940094,2.05500003695488,1.82000002264977,98.5650024414063,96.25,96.7320022583008,2694148936.17021
Guinea,33.5,137.4098,83.681605928821,42.6189994812012,24.6110000610352,33.5419998168945,0.0,1.11300003528595,1.90199995040894,1.50999999046326,67.7470016479492,71.3850021362305,64.1669998168945,5.77199983596802,1.86899995803833,9.61200046539307,26.4810009002686,26.746000289917,26.2210006713867,362.4624625,237.5807307,4.855,0.00887388467370403,10.4541058171845,779.911076147514,1894.44129905562,9.8,62.9980010986328,65.4869995117188,64.2419967651367,4581649.0,60.526,59.489,87.1254131600032,53.2680015563965,59.8009986877441,56.5610008239746,42.466088046361,5264064.0,54.4420327197876,6748593.0,3.09187923385138,383267.0,50.4473547126811,2.48622533008731,12395924.0,0.0,0.0,8000329.0,64.54,96.9990005493164,86.3130035400391,91.6129989624023,33.0,0.0,311.0,8.0,400.0,3.46700000762939,5.51399993896484,4.51000022888184,4.60300016403198,6.71799993515015,5.53700017929077,4395595.0,35.46,95.8870010375977,84.4119987487793,90.1030006408691,3.00099992752075,13.6870002746582,8.38700008392334,-2670967516.5617
Brazil,100.0,62.6774,43.6443157926871,3.52600002288818,1.40100002288818,2.29399991035461,7.0,3.01999998092651,5.39400005340576,4.39699983596802,10.1820001602173,4.75600004196167,14.1070003509521,20.8689994812012,10.7620000839233,28.181999206543,68.9489974975586,84.4820022583008,57.7099990844727,336.1458429,215.5356645,1.726,12.8852472129388,-3.46816285562616,10868.6534435351,14077.1214085544,60.8725400681261,53.3219985961914,74.9449996948242,63.8359985351563,103214044.0,79.139,71.883,117.536233367163,18.9570007324219,29.7150001525879,25.1949996948242,22.1362691046907,45966597.0,69.6163989839485,144560447.0,8.24733191136082,17125821.0,24.844387028693,0.817555711392756,207652865.0,78.9,53.4,28984187.0,13.958,25.5030002593994,36.5099983215332,31.8850002288818,9.6,20.2279645888825,731.0,79.5,2038.0,13.4689998626709,10.2119998931885,11.6099996566772,31.4790000915527,24.0459995269775,27.25,178668678.0,86.042,22.4830007553101,31.1160001754761,27.4889996051788,74.4970016479492,63.4900016784668,68.1149978637695,7888268360.8
Georgia,100.0,47.052,50.7798447242865,33.5270004272461,14.7469997406006,23.6009998321533,8.0,0.842000007629395,1.38999998569489,1.13199996948242,41.2449989318848,41.8199996948242,40.7330017089844,12.3549995422363,4.03800010681152,19.7670001983643,46.4000015258789,54.1419982910156,39.5009994506836,654.4065015,312.5064774,1.996,17.6068966132157,2.848973396234,4083.99815844957,9276.76624499826,59.26,57.7369995117188,78.6630020141602,67.4980010986328,2034776.0,77.482,68.984,140.924949145375,21.9409999847412,42.5509986877441,32.8339996337891,18.9478537883352,704728.0,66.3218699726525,2466709.0,14.7302762390123,547863.0,65.0705063158263,0.0591684165505642,3719300.0,88.6,0.0,1568168.0,42.163,56.310001373291,58.6889991760254,57.5670013427734,5.0,21.4100455876527,285.0,2.0,270.0,8.8430004119873,14.2089996337891,11.7600002288818,28.2789993286133,30.746000289917,29.931999206543,2151132.0,57.837,55.4680004119873,57.2979984283447,56.4349994659424,43.689998626709,41.3110008239746,42.4329986572266,-2310734036.03
